,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,302,295,Egg Substitute,Consumer Packaged Goods,Edible,General Food,Baking,Egg Substitute
,303,295,Evaporated/Condensed Milk,Consumer Packaged Goods,Edible,General Food,Baking,Evaporated/Condensed Milk
,304,295,Flour/Meal,Consumer Packaged Goods,Edible,General Food,Baking,Flour/Meal
,305,295,Frosting,Consumer Packaged Goods,Edible,General Food,Baking,Frosting
,306,295,Frt & Veg Preservative/Pectin,Consumer Packaged Goods,Edible,General Food,Baking,Frt & Veg Preservative/Pectin
,307,295,Gelatin/Pudding PRD and Mixes ,Consumer Packaged Goods,Edible,General Food,Baking,Gelatin/Pudding PRD and Mixes 
,308,295,Glazed Fruits ,Consumer Packaged Goods,Edible,General Food,Baking,Glazed Fruits 
,309,295,Ice Cream Cones/Mixes ,Consumer Packaged Goods,Edible,General Food,Baking,Ice Cream Cones/Mixes 
,310,295,Marshmallows,Consumer Packaged Goods,Edible,General Food,Baking,Marshmallows
,311,295,Shortening & Oil,Consumer Packaged Goods,Edible,General Food,Baking,Shortening & Oil
,312,295,Spices/Seasonings,Consumer Packaged Goods,Edible,General Food,Baking,Spices/Seasonings
,313,295,Sugar,Consumer Packaged Goods,Edible,General Food,Baking,Sugar
,314,295,Sugar Substitutes ,Consumer Packaged Goods,Edible,General Food,Baking,Sugar Substitutes 
,315,284,Breakfast,Consumer Packaged Goods,Edible,General Food,Breakfast,
,316,315,Cold cereal,Consumer Packaged Goods,Edible,General Food,Breakfast,Cold cereal
,317,315,Hot Cereal ,Consumer Packaged Goods,Edible,General Food,Breakfast,Hot Cereal 
,318,315,Other Breakfast Foods,Consumer Packaged Goods,Edible,General Food,Breakfast,Other Breakfast Foods
,319,315,Pancake Mixes,Consumer Packaged Goods,Edible,General Food,Breakfast,Pancake Mixes
,320,315,Syrup,Consumer Packaged Goods,Edible,General Food,Breakfast,Syrup
,321,315,Toaster Pastries/Tarts ,Consumer Packaged Goods,Edible,General Food,Breakfast,Toaster Pastries/Tarts 
,322,284,Candy,Consumer Packaged Goods,Edible,General Food,Candy,
,323,322,Breath Fresheners,Consumer Packaged Goods,Edible,General Food,Candy,Breath Fresheners
,324,322,Chocolate Candy,Consumer Packaged Goods,Edible,General Food,Candy,Chocolate Candy
,325,322,Gum,Consumer Packaged Goods,Edible,General Food,Candy,Gum
,326,322,Non-Chocolate Candy ,Consumer Packaged Goods,Edible,General Food,Candy,Non-Chocolate Candy 
,327,284,Condiments & Sauces,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,
,328,327,Barbeque Sauce,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,Barbeque Sauce
,329,327,Gravy/Sauce Mixes,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,Gravy/Sauce Mixes
,330,327,Jellies/Jam/Honey,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,Jellies/Jam/Honey
,331,327,Mayonnaise ,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,Mayonnaise 
,332,327,Mustard & Ketchup,Consumer Packaged Goods,Edible,General Food,Condiments & Sauces,Mustard & Ketchup
