Content 1.0 Unique ID	Content 1.0 IAB Category	Content 1.0 Tier	Content 2.0 Unique ID	Content 2.0 Parent	Content 2.0 Category	Content 2.0 Tier 1	Content 2.0 Tier 2	Content 2.0 Tier 3	Content 2.0 Tier 4	Imperfect Mapping
IAB17-18	Hunting/Shooting	Tier 2	514	483	Hunting and Shooting	Sports	Hunting and Shooting			
IAB17-19	Inline Skating	Tier 2	516	483	Inline Skating	Sports	Inline Skating			
IAB17-20	Martial Arts	Tier 2	520	483	Martial Arts	Sports	Martial Arts			
IAB17-21	Mountain Biking	Tier 2	492	483	Cycling	Sports	Cycling			
IAB17-22	NASCAR Racing	Tier 2	518	483	Auto Racing	Sports	Auto Racing			
IAB17-23	Olympics	Tier 2	521	483	Olympic Sports	Sports	Olympic Sports			
IAB17-24	Paintball	Tier 2	501	498	Paintball	Sports	Extreme Sports	Paintball		
IAB17-25	Power & Motorcycles	Tier 2	519	518	Motorcycle Sports	Sports	Auto Racing	Motorcycle Sports		
IAB17-26	Pro Basketball	Tier 2	547	483	Basketball	Sports	Basketball			
IAB17-27	Pro Ice Hockey	Tier 2	515	483	Ice Hockey	Sports	Ice Hockey			
IAB17-28	Rodeo	Tier 2	525	483	Rodeo	Sports	Rodeo			
IAB17-29	Rugby	Tier 2	527	483	Rugby	Sports	Rugby			
IAB17-30	Running/Jogging	Tier 2	227	225	Running and Jogging	Healthy Living	Fitness and Exercise	Running and Jogging		
IAB17-31	Sailing	Tier 2	530	483	Sailing	Sports	Sailing			
IAB17-32	Saltwater Fishing	Tier 2	511	483	Fishing Sports	Sports	Fishing Sports			
IAB17-33	Scuba Diving	Tier 2	502	498	Scuba Diving	Sports	Extreme Sports	Scuba Diving		
