Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Hair Growth Products	1183	Consumer Packaged Goods	Hair Care	Hair Growth Products	Beauty	IAB18-1	Style & Fashion	Beauty
Hair Spray/Spritz	1184	Consumer Packaged Goods	Hair Care	Hair Spray/Spritz	Beauty	IAB18-1	Style & Fashion	Beauty
Hair Styling Gel/Mousse	1185	Consumer Packaged Goods	Hair Care	Hair Styling Gel/Mousse	Beauty	IAB18-1	Style & Fashion	Beauty
Home Permanent/Relaxer Kits	1186	Consumer Packaged Goods	Hair Care	Home Permanent/Relaxer Kits	Beauty	IAB18-1	Style & Fashion	Beauty
Shampoo	1187	Consumer Packaged Goods	Hair Care	Shampoo	Beauty	IAB18-1	Style & Fashion	Beauty
HFSS Products [High Fat, Sugar, Salt]	1188	Consumer Packaged Goods	HFSS Products [High Fat, Sugar, Salt]		Food & Drink	IAB8	Food & Drink	
Home Care	1189	Consumer Packaged Goods	Home Care		Home & Garden	IAB10	Home & Garden	
Household Cleaning	1190	Consumer Packaged Goods	Home Care	Household Cleaning	Home & Garden	IAB10	Home & Garden	
Laundry	1191	Consumer Packaged Goods	Home Care	Laundry	Home & Garden	IAB10	Home & Garden	
Hosiery	1192	Consumer Packaged Goods	Hosiery		Clothing	IAB18-5	Style & Fashion	Clothing
Pantyhose/Nylons	1193	Consumer Packaged Goods	Hosiery	Pantyhose/Nylons	Accessories	IAB18-6	Style & Fashion	Accessories
Socks	1194	Consumer Packaged Goods	Hosiery	Socks	Accessories	IAB18-6	Style & Fashion	Accessories
Tights	1195	Consumer Packaged Goods	Hosiery	Tights	Accessories	IAB18-6	Style & Fashion	Accessories
Household/Plastics/Storage	1196	Consumer Packaged Goods	Household/Plastics/Storage		Food & Drink	IAB8	Food & Drink	
Bottles	1197	Consumer Packaged Goods	Household/Plastics/Storage	Bottles	Food & Drink	IAB8	Food & Drink	
Drinkware	1198	Consumer Packaged Goods	Household/Plastics/Storage	Drinkware	Food & Drink	IAB8	Food & Drink	
Household Plastics	1199	Consumer Packaged Goods	Household/Plastics/Storage	Household Plastics	Food & Drink	IAB8	Food & Drink	
Kitchen Storage	1200	Consumer Packaged Goods	Household/Plastics/Storage	Kitchen Storage	Food & Drink	IAB8	Food & Drink	
Meal Kits	1201	Consumer Packaged Goods	Meal Kits		Food & Drink	IAB8	Food & Drink	
Miscellaneous General Merch	1202	Consumer Packaged Goods	Miscellaneous General Merch		Home & Garden	IAB10	Home & Garden	
Office/School Supplies	1203	Consumer Packaged Goods	Office/School Supplies		Family & Parenting	IAB6	Family & Parenting	
Children's Art Supplies	1204	Consumer Packaged Goods	Office/School Supplies	Children's Art Supplies	Family & Parenting	IAB6	Family & Parenting	
Computer Disks Frmtd/UnFrmtd	1205	Consumer Packaged Goods	Office/School Supplies	Computer Disks Frmtd/UnFrmtd	Careers	IAB4	Careers	
Office Products	1206	Consumer Packaged Goods	Office/School Supplies	Office Products	Careers	IAB4	Careers	
Writing Instruments	1207	Consumer Packaged Goods	Office/School Supplies	Writing Instruments	Family & Parenting	IAB6	Family & Parenting	
Over the Counter Medication	1208	Consumer Packaged Goods	Over the Counter Medication		Health & Fitness	IAB7	Health & Fitness	
Paper Products	1209	Consumer Packaged Goods	Paper Products		Home & Garden	IAB10	Home & Garden	
Facial Tissue	1210	Consumer Packaged Goods	Paper Products	Facial Tissue	Home & Garden	IAB10	Home & Garden	
Paper Napkins	1211	Consumer Packaged Goods	Paper Products	Paper Napkins	Food & Drink	IAB8	Food & Drink	
Paper Towels	1212	Consumer Packaged Goods	Paper Products	Paper Towels	Food & Drink	IAB8	Food & Drink	
Toilet Tissue	1213	Consumer Packaged Goods	Paper Products	Toilet Tissue	Home & Garden	IAB10	Home & Garden	
Personal Care	1214	Consumer Packaged Goods	Personal Care		Beauty	IAB18-1	Style & Fashion	Beauty
Personal Cleansing	1215	Consumer Packaged Goods	Personal Cleansing		Beauty	IAB18-1	Style & Fashion	Beauty
Bath Products	1216	Consumer Packaged Goods	Personal Cleansing	Bath Products	Beauty	IAB18-1	Style & Fashion	Beauty
Bath/Body Scrubbers/Massagers	1217	Consumer Packaged Goods	Personal Cleansing	Bath/Body Scrubbers/Massagers	Beauty	IAB18-1	Style & Fashion	Beauty
Deodorant	1218	Consumer Packaged Goods	Personal Cleansing	Deodorant	Beauty	IAB18-1	Style & Fashion	Beauty
Moist Towelettes	1219	Consumer Packaged Goods	Personal Cleansing	Moist Towelettes	Beauty	IAB18-1	Style & Fashion	Beauty
Soap	1220	Consumer Packaged Goods	Personal Cleansing	Soap	Beauty	IAB18-1	Style & Fashion	Beauty
Pest Control	1221	Consumer Packaged Goods	Pest Control		Home & Garden	IAB10	Home & Garden	
Outdoor Insect/Rodent Control Chem	1222	Consumer Packaged Goods	Pest Control	Outdoor Insect/Rodent Control Chem	Home & Garden	IAB10	Home & Garden	
Pest Control	1223	Consumer Packaged Goods	Pest Control	Pest Control	Home & Garden	IAB10	Home & Garden	
Pet Care	1224	Consumer Packaged Goods	Pet Care		Pets	IAB16	Pets	
Cat/Dog Litter	1225	Consumer Packaged Goods	Pet Care	Cat/Dog Litter	Pets	IAB16	Pets	
Pet Food	1226	Consumer Packaged Goods	Pet Care	Pet Food	Pets	IAB16	Pets	
Pet Supplies	1227	Consumer Packaged Goods	Pet Care	Pet Supplies	Pets	IAB16	Pets	
Pet Treats	1228	Consumer Packaged Goods	Pet Care	Pet Treats	Pets	IAB16	Pets	
