Content Taxonomy 1.0 Unique ID	Content Taxonomy 1.0 Tier 1 Value	Content Taxonomy 1.0 Tier 2 Value	Ad Product Taxonomy 2.0 Unique ID	Ad Product Taxonomy 2.0 Tier 1 Value	Ad Product Taxonomy 2.0 Tier 2 Value	Ad Product Taxonomy 2.0 Tier 3 Value
IAB20-3	Travel	Air Travel	1537	Travel and Tourism	Air Travel	
IAB20-4	Travel	Australia & New Zealand	1529	Travel and Tourism		
IAB20-5	Travel	Bed & Breakfasts	1531	Travel and Tourism	Accomodations	Bed and Breakfasts
IAB20-6	Travel	Budget Travel	1529	Travel and Tourism		
IAB20-7	Travel	Business Travel	1529	Travel and Tourism		
IAB20-8	Travel	By US Locale	1529	Travel and Tourism		
IAB20-9	Travel	Camping	1532	Travel and Tourism	Accomodations	Camping and Camp Grounds
IAB20-10	Travel	Canada	1529	Travel and Tourism		
IAB20-11	Travel	Caribbean	1529	Travel and Tourism		
IAB20-12	Travel	Cruises	1538	Travel and Tourism	Cruises	
IAB20-13	Travel	Eastern Europe	1529	Travel and Tourism		
IAB20-14	Travel	Europe	1529	Travel and Tourism		
IAB20-15	Travel	France	1529	Travel and Tourism		
IAB20-16	Travel	Greece	1529	Travel and Tourism		
IAB20-17	Travel	Honeymoons/Getaways	1529	Travel and Tourism		
IAB20-18	Travel	Hotels	1533	Travel and Tourism	Accomodations	Hotels and Resorts
IAB20-19	Travel	Italy	1529	Travel and Tourism		
IAB20-20	Travel	Japan	1529	Travel and Tourism		
IAB20-21	Travel	Mexico & Central America	1529	Travel and Tourism		
IAB20-22	Travel	National Parks	1529	Travel and Tourism		
IAB20-23	Travel	South America	1529	Travel and Tourism		
IAB20-24	Travel	Spas	1529	Travel and Tourism		
IAB20-25	Travel	Theme Parks	1529	Travel and Tourism		
IAB20-26	Travel	Traveling with Kids	1529	Travel and Tourism		
IAB20-27	Travel	United Kingdom	1529	Travel and Tourism		
IAB21	Real Estate		1482	Real Estate		
IAB21-1	Real Estate	Apartments	1482	Real Estate		
IAB21-2	Real Estate	Architects	1482	Real Estate		
IAB21-3	Real Estate	Buying/Selling Homes	1485	Real Estate	Real Estate Sales	
IAB22	Shopping		1494	Retail		
IAB22-1	Shopping	Contests & Freebies	1364	Gambling	Give Aways	
IAB22-2	Shopping	Couponing	1374	Gifts and Holiday Items	Gift Cards and Coupons	
IAB22-3	Shopping	Comparison	1374	Gifts and Holiday Items	Gift Cards and Coupons	
IAB22-4	Shopping	Engines	1494	Retail		
IAB23	Religion & Spirituality		1487	Religion & Spirituality		
IAB23-1	Religion & Spirituality	Alternative Religions	1487	Religion & Spirituality		
IAB23-2	Religion & Spirituality	Atheism/Agnosticism	1487	Religion & Spirituality		
IAB23-3	Religion & Spirituality	Buddhism	1487	Religion & Spirituality		
IAB23-4	Religion & Spirituality	Catholicism	1487	Religion & Spirituality		
IAB23-5	Religion & Spirituality	Christianity	1487	Religion & Spirituality		
IAB23-6	Religion & Spirituality	Hinduism	1487	Religion & Spirituality		
IAB23-7	Religion & Spirituality	Islam	1487	Religion & Spirituality		
IAB23-8	Religion & Spirituality	Judaism	1487	Religion & Spirituality		
IAB23-9	Religion & Spirituality	Latter-Day Saints	1487	Religion & Spirituality		
IAB23-10	Religion & Spirituality	Pagan/Wiccan	1487	Religion & Spirituality		
IAB24	Uncategorized		1000	Ad Safety Risk		
IAB25	Non-Standard Content		1000	Ad Safety Risk		
